time,life,sumv,extsumv,InsCurrent,AvgCurrent,soc,soh,maxv,maxv_no,minv,minv_no,maxt,maxt_no,mint,mint_no,posRelay,negRelay,preRelay,chgRelay,heatRelay,fanRelay,di1,di2,di3,di4,do1,do2,ai1,ai2,cc,cc2,cp,supplyVoltage,batErrCode,hdErrCode,otherErrCode,batSysErrCode,inAh,outAh,chg_sgnl_state,chg_state,chg_step,charger_state,chg_max_pmt_cur,chg_cur_step,max_pmt_chgt,max_pmt_chg_sumV,max_pmt_chg_cellV,chg_output_sumv,chg_output_cur,total_chg_time,rest_chg_time,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,TNum_BMU1,Sumv_BMU2,HeatRelay_BMU2,FanRelay_BMU2,VNum_BMU2,TNum_BMU2,Sumv_BMU3,HeatRelay_BMU3,FanRelay_BMU3,VNum_BMU3,TNum_BMU3,
14-40-32,216,0,1,419.7,419.4,37,100,65.535,1,65.535,2,215,3,215,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c00000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-40-33,237,0,1,419.7,419.4,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c00000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-35,0,0,1,419.7,419.4,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c00000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-36,19,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0c00c00000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-37,41,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0c00c00000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-38,63,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0000000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-39,82,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0000000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-40,104,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
14-40-41,122,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,0,10,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,
14-40-42,146,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-40-43,148,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000300000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,
14-40-44,184,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,10,25,25,25,25,25,25,25,25,25,25,
14-40-45,205,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-46,225,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-47,250,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-50,44,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-51,71,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-52,90,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-53,111,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
14-40-54,130,330,330,10,10,37,100,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,0005000000000000,0000000000000000,0000000000000000,0000000000000000,107100,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
