time,life,sumv,extsumv,InsCurrent,AvgCurrent,soc,soh,maxv,maxv_no,minv,minv_no,maxt,maxt_no,mint,mint_no,posRelay,negRelay,preRelay,chgRelay,heatRelay,fanRelay,di1,di2,di3,di4,do1,do2,ai1,ai2,cc,cc2,cp,supplyVoltage,batErrCode,hdErrCode,otherErrCode,batSysErrCode,inAh,outAh,chg_sgnl_state,chg_state,chg_step,charger_state,chg_max_pmt_cur,chg_cur_step,max_pmt_chgt,max_pmt_chg_sumV,max_pmt_chg_cellV,chg_output_sumv,chg_output_cur,total_chg_time,rest_chg_time,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,TNum_BMU1,Sumv_BMU2,HeatRelay_BMU2,FanRelay_BMU2,VNum_BMU2,TNum_BMU2,Sumv_BMU3,HeatRelay_BMU3,FanRelay_BMU3,VNum_BMU3,TNum_BMU3,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,BMU1_V1,BMU1_V2,BMU1_V3,BMU1_V4,BMU1_V5,BMU1_V6,BMU1_V7,BMU1_V8,BMU1_V9,BMU1_V10,BMU1_V11,BMU1_V12,BMU1_V13,BMU1_V14,BMU1_V15,BMU1_V16,BMU1_V17,BMU1_V18,BMU1_V19,BMU1_V20,BMU1_V21,BMU1_V22,BMU1_V23,BMU1_V24,BMU1_V25,BMU1_V26,BMU1_V27,BMU1_V28,BMU1_V29,BMU1_V30,BMU1_V31,BMU1_V32,BMU1_V33,BMU1_V34,BMU1_V35,BMU1_V36,BMU1_V37,BMU1_V38,BMU1_V39,BMU1_V40,BMU1_V41,BMU1_V42,BMU1_V43,BMU1_V44,BMU1_V45,BMU1_V46,BMU1_V47,BMU1_V48,BMU1_V49,BMU1_V50,BMU1_V51,BMU1_V52,BMU1_V53,BMU1_V54,BMU1_V55,BMU1_V56,BMU1_V57,BMU1_V58,BMU1_V59,BMU1_V60,TNum_BMU1,BMU1_T1,BMU1_T2,BMU1_T3,BMU1_T4,BMU1_T5,BMU1_T6,BMU1_T7,BMU1_T8,BMU1_T9,BMU1_T10,Sumv_BMU2,HeatRelay_BMU2,FanRelay_BMU2,VNum_BMU2,BMU2_V1,BMU2_V2,BMU2_V3,BMU2_V4,BMU2_V5,BMU2_V6,BMU2_V7,BMU2_V8,BMU2_V9,BMU2_V10,BMU2_V11,BMU2_V12,BMU2_V13,BMU2_V14,BMU2_V15,BMU2_V16,BMU2_V17,BMU2_V18,BMU2_V19,BMU2_V20,BMU2_V21,BMU2_V22,BMU2_V23,BMU2_V24,BMU2_V25,BMU2_V26,BMU2_V27,BMU2_V28,BMU2_V29,BMU2_V30,BMU2_V31,BMU2_V32,BMU2_V33,BMU2_V34,BMU2_V35,BMU2_V36,BMU2_V37,BMU2_V38,BMU2_V39,BMU2_V40,BMU2_V41,BMU2_V42,BMU2_V43,BMU2_V44,BMU2_V45,BMU2_V46,BMU2_V47,BMU2_V48,BMU2_V49,BMU2_V50,BMU2_V51,BMU2_V52,BMU2_V53,BMU2_V54,BMU2_V55,BMU2_V56,BMU2_V57,BMU2_V58,BMU2_V59,BMU2_V60,TNum_BMU2,BMU2_T1,BMU2_T2,BMU2_T3,BMU2_T4,BMU2_T5,BMU2_T6,BMU2_T7,BMU2_T8,BMU2_T9,BMU2_T10,Sumv_BMU3,HeatRelay_BMU3,FanRelay_BMU3,VNum_BMU3,BMU3_V1,BMU3_V2,BMU3_V3,BMU3_V4,BMU3_V5,BMU3_V6,BMU3_V7,BMU3_V8,BMU3_V9,BMU3_V10,BMU3_V11,BMU3_V12,BMU3_V13,BMU3_V14,BMU3_V15,BMU3_V16,BMU3_V17,BMU3_V18,BMU3_V19,BMU3_V20,BMU3_V21,BMU3_V22,BMU3_V23,BMU3_V24,BMU3_V25,BMU3_V26,BMU3_V27,BMU3_V28,BMU3_V29,BMU3_V30,BMU3_V31,BMU3_V32,BMU3_V33,BMU3_V34,BMU3_V35,BMU3_V36,BMU3_V37,BMU3_V38,BMU3_V39,BMU3_V40,BMU3_V41,BMU3_V42,BMU3_V43,BMU3_V44,BMU3_V45,BMU3_V46,BMU3_V47,BMU3_V48,BMU3_V49,BMU3_V50,BMU3_V51,BMU3_V52,BMU3_V53,BMU3_V54,BMU3_V55,BMU3_V56,BMU3_V57,BMU3_V58,BMU3_V59,BMU3_V60,TNum_BMU3,BMU3_T1,BMU3_T2,BMU3_T3,BMU3_T4,BMU3_T5,BMU3_T6,BMU3_T7,BMU3_T8,BMU3_T9,BMU3_T10,
17-26-12,41,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,0,0,0,0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-14,65,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-14,82,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-15,101,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-16,118,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-17,138,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-18,161,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-19,183,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-20,202,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
17-26-21,223,330,330,10,10,0,99.9,3.65,1,3,2,28,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,c00f00c000000000,0000000000000000,0000000000000000,0000000000000000,151148,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,0,0,0,60,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,25,25,25,25,25,25,25,25,25,25,
